Country Name,Country Code,Indicator Code,Indicator Name,Date,value,continent
Latin America & the Caribbean (IDA & IBRD countries),TLA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,53.7423663575009,
Latin America & the Caribbean (IDA & IBRD countries),TLA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,55.6534268995682,
Latin America & the Caribbean (IDA & IBRD countries),TLA,SP.POP.TOTL,"Population, total",1960,209749023.0,
Least developed countries: UN classification,LDC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,18342.4557944617,
Least developed countries: UN classification,LDC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,41.2806877921912,
Least developed countries: UN classification,LDC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,39.3967372955831,
Least developed countries: UN classification,LDC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,40.3051887204229,
Least developed countries: UN classification,LDC,SP.POP.TOTL,"Population, total",1960,240454708.0,
Middle East & North Africa (excluding high income),MNA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,58117.8042696122,
Middle East & North Africa (excluding high income),MNA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,46.9584702312592,
Middle East & North Africa (excluding high income),MNA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,45.7911050772959,
Middle East & North Africa (excluding high income),MNA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,46.363107346667,
Middle East & North Africa (excluding high income),MNA,SP.POP.TOTL,"Population, total",1960,97553136.0,
Middle East & North Africa (IDA & IBRD countries),TMN,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,57971.603,
Middle East & North Africa (IDA & IBRD countries),TMN,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,46.9584702312592,
Middle East & North Africa (IDA & IBRD countries),TMN,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,45.7911050772959,
Middle East & North Africa (IDA & IBRD countries),TMN,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,46.3631073466669,
Middle East & North Africa (IDA & IBRD countries),TMN,SP.POP.TOTL,"Population, total",1960,97553136.0,
OECD members,OED,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,2.72782771637474,
OECD members,OED,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,2203386.43308067,
OECD members,OED,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1960,46.5464950686265,
OECD members,OED,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,1335.42421733101,
OECD members,OED,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,70.1522302172203,
OECD members,OED,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,64.4342103479813,
OECD members,OED,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,67.226094446478,
OECD members,OED,SP.POP.TOTL,"Population, total",1960,809413164.0,
Other small states,OSS,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,27.8722720251864,
Other small states,OSS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,4889.94409158081,
Other small states,OSS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,53.9812115040087,
Other small states,OSS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,48.9432059048955,
Other small states,OSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,51.4089539826494,
Other small states,OSS,SP.POP.TOTL,"Population, total",1960,9151857.0,
Pacific island small states,PSS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,297.492756181826,
Pacific island small states,PSS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,58.2450594503409,
Pacific island small states,PSS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,55.1631154243859,
Pacific island small states,PSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,56.505576769448,
Pacific island small states,PSS,SP.POP.TOTL,"Population, total",1960,865064.0,
Post-demographic dividend,PST,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,2.81363954481836,
Post-demographic dividend,PST,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,2222014.9450496,
Post-demographic dividend,PST,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1960,44.0251494203611,
Post-demographic dividend,PST,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,1387.39396726686,
Post-demographic dividend,PST,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,71.7329055378698,
Post-demographic dividend,PST,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,66.0294676533843,
Post-demographic dividend,PST,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,68.8144558904652,
Post-demographic dividend,PST,SP.POP.TOTL,"Population, total",1960,755229793.0,
Pre-demographic dividend,PRE,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,20334.073760992,
Pre-demographic dividend,PRE,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,111.590036301671,
Pre-demographic dividend,PRE,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,40.3760111347375,
Pre-demographic dividend,PRE,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,37.9429520832671,
Pre-demographic dividend,PRE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,39.1361001796819,
Pre-demographic dividend,PRE,SP.POP.TOTL,"Population, total",1960,187617086.0,
Small states,SST,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,27.8722720251864,
Small states,SST,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,9511.22637608153,
Small states,SST,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,57.3036318067666,
Small states,SST,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,52.8294786951765,
Small states,SST,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,55.0159502068522,
Small states,SST,SP.POP.TOTL,"Population, total",1960,14211632.0,
South Asia (IDA & IBRD),TSA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,34447.276327123,
South Asia (IDA & IBRD),TSA,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,82.3453989071595,
South Asia (IDA & IBRD),TSA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,41.4049652574959,
South Asia (IDA & IBRD),TSA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,42.8040196041981,
South Asia (IDA & IBRD),TSA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,42.1202081554742,
South Asia (IDA & IBRD),TSA,SP.POP.TOTL,"Population, total",1960,572839530.0,
Sub-Saharan Africa (excluding high income),SSA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,25764.2817059151,
Sub-Saharan Africa (excluding high income),SSA,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,137.138333939534,
Sub-Saharan Africa (excluding high income),SSA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,41.8182958694092,
Sub-Saharan Africa (excluding high income),SSA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,38.9905575059775,
Sub-Saharan Africa (excluding high income),SSA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,40.3778967969882,
Sub-Saharan Africa (excluding high income),SSA,SP.POP.TOTL,"Population, total",1960,227191484.0,
Sub-Saharan Africa (IDA & IBRD countries),TSS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,25769.1553014107,
Sub-Saharan Africa (IDA & IBRD countries),TSS,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,137.161909400584,
Sub-Saharan Africa (IDA & IBRD countries),TSS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,41.8182958694092,
Sub-Saharan Africa (IDA & IBRD countries),TSS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,38.9905575059775,
Sub-Saharan Africa (IDA & IBRD countries),TSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,40.3778967969882,
Sub-Saharan Africa (IDA & IBRD countries),TSS,SP.POP.TOTL,"Population, total",1960,227233184.0,
World,WLD,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,2.72782771637474,
World,WLD,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,3027083.00490806,
World,WLD,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,459.096735411056,
World,WLD,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,54.6063821767335,
World,WLD,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,50.7358807527662,
World,WLD,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,52.5819155389656,
World,WLD,SP.POP.TOTL,"Population, total",1960,3032156070.0,
Channel Islands,CHI,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,73.61,
Channel Islands,CHI,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,67.811,
Channel Islands,CHI,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,70.739,
Channel Islands,CHI,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",1960,1.019,
Channel Islands,CHI,SP.POP.TOTL,"Population, total",1960,109419.0,
Early-demographic dividend,EAR,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,1.00268972278519,
Early-demographic dividend,EAR,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,262871.545310531,
Early-demographic dividend,EAR,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1961,4.80773662828352,
Early-demographic dividend,EAR,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,158.406567415499,
Early-demographic dividend,EAR,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,46.2414589164742,
Early-demographic dividend,EAR,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,45.3320525865669,
Early-demographic dividend,EAR,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,45.7493597471344,
Early-demographic dividend,EAR,SP.POP.TOTL,"Population, total",1961,1003194972.0,
East Asia & Pacific (excluding high income),EAP,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,61583.4386516458,
East Asia & Pacific (excluding high income),EAP,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,80.0617561630868,
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,47.8448140306538,
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,44.4432795169018,
East Asia & Pacific (excluding high income),EAP,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,46.0582563060064,
East Asia & Pacific (excluding high income),EAP,SP.POP.TOTL,"Population, total",1961,894489549.0,
East Asia & Pacific (IDA & IBRD countries),TEA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,60748.776851102,
East Asia & Pacific (IDA & IBRD countries),TEA,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,80.9995251914589,
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,47.7511226736,
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,44.3921822631957,
East Asia & Pacific (IDA & IBRD countries),TEA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,45.9840458570603,
East Asia & Pacific (IDA & IBRD countries),TEA,SP.POP.TOTL,"Population, total",1961,882807979.0,
Euro area,EMU,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,3.62776419627131,
Euro area,EMU,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1961,49.2224386247333,
Euro area,EMU,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1961,121.434470722138,
Euro area,EMU,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,1005.02227285536,
Euro area,EMU,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,72.5073162357585,
Euro area,EMU,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,66.9537517799533,
Euro area,EMU,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,69.6602710840239,
Euro area,EMU,SP.POP.TOTL,"Population, total",1961,267621091.0,
Europe & Central Asia (excluding high income),ECA,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,1.00268972278519,
Europe & Central Asia (excluding high income),ECA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,627080.22343495,
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,67.5079301572698,
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,59.9949223474891,
Europe & Central Asia (excluding high income),ECA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,63.6829935710452,
Europe & Central Asia (excluding high income),ECA,SP.POP.TOTL,"Population, total",1961,260376316.0,
Europe & Central Asia (IDA & IBRD countries),TEC,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,0.237760392775779,
Europe & Central Asia (IDA & IBRD countries),TEC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,644675.486634924,
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,67.8711337110011,
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,60.8217918020935,
Europe & Central Asia (IDA & IBRD countries),TEC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,64.2689204128181,
Europe & Central Asia (IDA & IBRD countries),TEC,SP.POP.TOTL,"Population, total",1961,313062858.0,
Fragile and conflict affected situations,FCS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,41004.2662813602,
Fragile and conflict affected situations,FCS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,47.8428287423445,
Fragile and conflict affected situations,FCS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,43.6937407943896,
Fragile and conflict affected situations,FCS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,45.7152949742993,
Fragile and conflict affected situations,FCS,SP.POP.TOTL,"Population, total",1961,250274396.0,
Heavily indebted poor countries (HIPC),HPC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,14526.5871503067,
Heavily indebted poor countries (HIPC),HPC,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,107.567307512877,
Heavily indebted poor countries (HIPC),HPC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,41.4630430476145,
Heavily indebted poor countries (HIPC),HPC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,39.0135890369784,
Heavily indebted poor countries (HIPC),HPC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,40.2214023003647,
Heavily indebted poor countries (HIPC),HPC,SP.POP.TOTL,"Population, total",1961,165573136.0,
IBRD only,IBD,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,0.237760392775779,
IBRD only,IBD,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,849538.339959107,
IBRD only,IBD,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1961,9.01292995286425,
IBRD only,IBD,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,161.381511147097,
IBRD only,IBD,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,50.8764932143317,
IBRD only,IBD,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,47.7025723090044,
