Country Name,Country Code,Indicator Code,Indicator Name,Date,value
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,47.5526135863053
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,41.5698419729703
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,38.6496643105588
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,40.0981397930463
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,95.3495982376409
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,46.4637189349885
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,45.294590848034
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,45.8287260328845
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,147.503903013816
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,49.605708129297
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,46.6876499621109
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,48.0584752803831
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,195.205255318658
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,52.4378635099281
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,47.9681608241134
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,50.0883164580646
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1962,46.4111716005364
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,1528.48601419772
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,71.8494031131248
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,66.001800504391
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,68.8550968909402
Low & middle income,LMY,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,145.133716172363
Low & middle income,LMY,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,49.6863185742358
Low & middle income,LMY,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,46.7736577483535
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,48.148852142041
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,42.0085187393765
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,39.0737633743453
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,40.5304465324946
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,94.6892029402464
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,47.0476072322786
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,45.8614384030526
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,46.4041879953421
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,147.984713119889
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,50.2217082541797
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,47.2861131128177
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,48.6678715027296
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,197.411311492964
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,53.1070209298998
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,48.6077503360144
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,50.7468259000135
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1963,46.5995232479195
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1963,1626.10816884992
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1963,72.124123723439
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1963,66.1504990115913
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1963,69.0652893681282
Low & middle income,LMY,NY.GDP.PCAP.CD,GDP per capita (current US$),1963,153.318853873101
Low & middle income,LMY,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1963,50.4087285151004
Low & middle income,LMY,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1963,47.4577617235532
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1963,48.8542689912541
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1963,42.4480286187642
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1963,39.5022147401546
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1963,40.9654189991954
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1963,103.008770254554
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1963,47.6278327651084
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1963,46.416181581565
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1963,46.9714457180884
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1963,154.999326855624
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1963,50.9633891757432
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1963,47.9866816672127
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1963,49.3912115203052
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1963,202.263687962644
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1963,53.9930694863733
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1963,49.4426914012581
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1963,51.6119469408615
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1964,46.1025882179533
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1964,1753.35258747845
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1964,72.5597923814592
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1964,66.4997851910535
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1964,69.4565788536041
Low & middle income,LMY,NY.GDP.PCAP.CD,GDP per capita (current US$),1964,167.819828709565
Low & middle income,LMY,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1964,51.2560808183246
Low & middle income,LMY,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1964,48.2465232940512
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1964,49.6744483959681
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1964,42.8949830713123
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1964,39.9430198592235
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1964,41.4107374597689
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1964,113.009332814409
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1964,48.2026350035661
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1964,46.9576240169699
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1964,47.5289345512442
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1964,172.429419168944
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1964,51.8387204137407
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1964,48.7985807156682
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1964,50.236944950313
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1964,226.875185052943
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1964,55.141872349457
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1964,50.5059702752506
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1964,52.7228774941791
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1965,45.5960434084095
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1965,1882.04517805023
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1965,72.6907470027013
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1965,66.58085992121
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1965,69.5616030435382
Low & middle income,LMY,NY.GDP.PCAP.CD,GDP per capita (current US$),1965,181.315574251899
Low & middle income,LMY,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1965,52.1917413421475
Low & middle income,LMY,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1965,49.1129289923739
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1965,50.5768908423984
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1965,43.3535609058566
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1965,40.4010125213819
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1965,41.8706562226897
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1965,119.035808565605
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1965,48.7654631495065
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1965,47.4795115840689
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1965,48.0696311995691
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1965,185.774987722907
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1965,52.808076268438
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1965,49.692529839925
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1965,51.1699236069449
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1965,247.668424137119
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1965,56.480210952305
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1965,51.745382091638
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1965,54.0161258042789
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1966,44.5408418948855
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1966,2042.30669842524
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1966,72.9878854398317
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1966,66.7961911540925
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1966,69.8165123747424
Low & middle income,LMY,NY.GDP.PCAP.CD,GDP per capita (current US$),1966,183.546715387134
Low & middle income,LMY,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1966,53.1604793562061
Low & middle income,LMY,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1966,50.0170048941101
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1966,51.5150313588749
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1966,43.8244819652053
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1966,40.8751657302879
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1966,42.3456306631979
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1966,106.697603739706
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1966,49.3061095494199
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1966,47.9745130168286
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1966,48.5862013170555
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1966,187.586672265207
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1966,53.8119286912378
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1966,50.6255372892063
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1966,52.1399710157447
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1966,266.908669534891
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1966,57.8977760765673
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1966,53.0808245435311
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1966,55.3971189731559
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1967,44.2978738391522
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1967,2168.88469897282
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1967,73.2431973512618
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1967,66.9816924194373
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1967,70.035745071594
Low & middle income,LMY,NY.GDP.PCAP.CD,GDP per capita (current US$),1967,183.711519273467
Low & middle income,LMY,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1967,54.109088885611
Low & middle income,LMY,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1967,50.9143359333857
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1967,52.4393216245383
Low income,LIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1967,118.948982747155
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1967,44.3034157920442
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1967,41.3575738255953
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1967,42.8285389590222
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1967,111.383757425383
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1967,49.820061348487
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1967,48.4394751183142
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1967,49.0738800171563
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1967,188.187000300171
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1967,54.7946059989962
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1967,51.5517052509622
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1967,53.095587597086
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1967,262.319267991769
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1967,59.30375165935
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1967,54.4337740824006
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1967,56.7806794259949
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1968,43.7910828257377
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1968,2328.60768505514
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1968,73.3120590129058
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1968,66.8074609884011
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1968,69.9801697994087
Low & middle income,LMY,NY.GDP.PCAP.CD,GDP per capita (current US$),1968,189.422915785614
Low & middle income,LMY,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1968,54.9950011999371
Low & middle income,LMY,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1968,51.7722704916361
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1968,53.3122498473885
Low income,LIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1968,122.714349981361
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1968,44.784412028486
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1968,41.8407093332152
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1968,43.3127534642228
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1968,117.221829590711
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1968,50.3071471407391
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1968,48.8763942169593
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1968,49.5339050504218
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1968,194.042146265525
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1968,55.7103851784756
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1968,52.4361135013751
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1968,53.9965633863113
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1968,267.352038481838
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1968,60.6055571867997
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1968,55.7316380018232
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1968,58.0840587495015
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1969,41.558001637368
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1969,2536.39001601567
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1969,73.4907183895178
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1969,67.0237190361108
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1969,70.1770344439967
Low & middle income,LMY,NY.GDP.PCAP.CD,GDP per capita (current US$),1969,206.789003778692
Low & middle income,LMY,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1969,55.7895153048865
Low & middle income,LMY,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1969,52.5602157334333
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1969,54.1041680071713
Low income,LIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1969,136.632403600461
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1969,45.2631522228523
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1969,42.3197085286251
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1969,43.7933538001164
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1969,127.176445921233
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1969,50.7732630121645
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1969,49.2902461669886
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1969,49.9715717292533
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1969,211.65160394941
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1969,56.5284587531683
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1969,53.2460493884559
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1969,54.8111613732902
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1969,292.447668441366
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1969,61.7364735523825
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1969,56.9044900584282
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1969,59.2390696099553
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1970,39.3100782317235
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1970,2743.79575423643
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1970,73.7958682137355
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1970,67.3486130096741
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1970,70.4917057960893
Low & middle income,LMY,NY.GDP.PCAP.CD,GDP per capita (current US$),1970,221.392849098127
Low & middle income,LMY,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1970,56.52667693916
Low & middle income,LMY,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1970,53.2809521262271
Low & middle income,LMY,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1970,54.8316581992696
Low income,LIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1970,137.754934660381
Low income,LIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1970,45.7348230516578
Low income,LIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1970,42.7906057604025
Low income,LIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1970,44.2662877734182
Lower middle income,LMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1970,137.675205665736
Lower middle income,LMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1970,51.2314593219238
Lower middle income,LMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1970,49.6952468239015
Lower middle income,LMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1970,50.4002882991704
Middle income,MIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1970,227.214491566076
Middle income,MIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1970,57.2856692471078
Middle income,MIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1970,53.9848007413483
Middle income,MIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1970,55.5574397198262
Upper middle income,UMC,NY.GDP.PCAP.CD,GDP per capita (current US$),1970,312.409895094734
Upper middle income,UMC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1970,62.7580907303872
Upper middle income,UMC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1970,57.9474136630783
Upper middle income,UMC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1970,60.2705734362587
High income,HIC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1971,38.8527381865439
High income,HIC,NY.GDP.PCAP.CD,GDP per capita (current US$),1971,3010.71947576983
High income,HIC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1971,74.1065007931936
High income,HIC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1971,67.6179541375589
High income,HIC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1971,70.7804995207828
Low & middle income,LMY,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1971,22.7306346823084
